census_block_group,visits_wawa,visits_7_eleven,visits_starbucks
120174503022,4.0,,
120174506012,4.0,,
120174507024,4.0,,
120174515023,4.0,,
120190302011,4.0,,
120190307035,4.0,,
120190309022,4.0,,
120190312004,4.0,,
120210101053,4.0,,
120210102083,4.0,,
120210104101,4.0,,
120210104121,8.0,,
120210104141,4.0,,
120210110021,4.0,,
120210112022,8.0,,
120310102012,4.0,,
120310103012,4.0,,
120310106001,4.0,,
120310141022,4.0,,
120310144011,4.0,,
120310144043,4.0,,
120310147013,4.0,,
120310150021,4.0,,4.0
120310157002,4.0,,
120310159222,12.0,,
120310168071,4.0,4.0,
120330001001,4.0,,
120330010014,4.0,,
120330025003,4.0,,
120330026011,4.0,,
120330026051,4.0,,
120330034002,8.0,,
120330035071,4.0,,
120330040001,4.0,,
120350601031,4.0,,
120350601042,8.0,,
120350602051,4.0,,
120350602062,4.0,,
120350602092,4.0,,
120350602131,9.0,,
120350602141,8.0,,
120530407011,4.0,,
120530410031,4.0,5.0,
120530412012,4.0,,
120559603001,4.0,,
120570014001,9.0,,
120570018002,4.0,,
120570022001,4.0,,
120570025003,4.0,,
120570028001,4.0,,
120570032003,4.0,,
120570048001,4.0,,
120570049003,4.0,,
120570050001,4.0,,4.0
120570050003,33.0,,20.0
120570101032,4.0,,
120570101071,4.0,,
120570108082,4.0,,
120570110082,4.0,,
120570110084,8.0,,
120570115161,4.0,,
120570115173,4.0,,
120570117102,5.0,,
120570125041,4.0,,
120570133201,4.0,,
120570134102,6.0,,
120570134122,4.0,,
120570137023,8.0,,
120570139122,4.0,,
120570139221,4.0,,
120570141042,16.0,,4.0
120570141191,4.0,,
120610504012,4.0,,
120610506021,4.0,,
120610506031,4.0,,
120610506061,5.0,,
120610507032,4.0,,
120610507051,4.0,,
120610508062,4.0,,
120610508063,4.0,,
120632104001,4.0,,
120690302092,4.0,,
120690303071,4.0,,
120690312041,4.0,,
120690312042,4.0,,
120690313051,4.0,,
120690313081,6.0,,
120710012011,4.0,,
120710014014,4.0,,
120710016014,4.0,,
120710019031,4.0,,
120710019141,4.0,,
120710019142,4.0,,
120710101054,4.0,,
120710102045,4.0,,
120710104053,4.0,,
120710104061,4.0,,
120710104091,4.0,,4.0
120710104103,8.0,,
120710108021,4.0,,
120710401101,5.0,,
120710401161,4.0,,
120710401191,4.0,,4.0
